"arc_length","pf","phi"
0,1.594313e-02,1.471302e-02
0.000999987,1.481616e-02,1.472322e-02
0.002,1.481616e-02,1.473342e-02
0.00299999,1.481616e-02,1.474361e-02
0.00400001,1.481616e-02,1.475381e-02
0.005,1.481616e-02,1.476401e-02
0.00600001,1.481616e-02,1.477421e-02
0.007,1.481616e-02,1.478441e-02
0.00799999,1.481616e-02,1.479460e-02
0.009,1.481616e-02,1.480480e-02
0.00999999,1.481616e-02,1.481500e-02
0.011,1.481616e-02,1.482520e-02
0.012,1.481616e-02,1.483539e-02
0.013,1.481616e-02,1.484559e-02
0.014,1.481616e-02,1.485579e-02
0.015,1.481616e-02,1.486599e-02
0.016,1.481616e-02,1.487619e-02
0.017,1.481616e-02,1.488638e-02
0.018,1.481616e-02,1.489658e-02
0.019,1.481616e-02,1.490678e-02
0.02,1.481616e-02,1.491698e-02
0.021,1.481616e-02,1.492718e-02
0.022,1.481616e-02,1.493737e-02
0.023,1.481616e-02,1.494757e-02
0.024,1.481616e-02,1.495777e-02
0.025,1.481616e-02,1.496797e-02
0.026,1.481616e-02,1.497817e-02
0.027,1.481616e-02,1.498836e-02
0.028,1.481616e-02,1.499856e-02
0.029,1.481616e-02,1.500876e-02
0.03,1.481616e-02,1.501896e-02
0.031,1.481616e-02,1.502916e-02
0.032,1.481616e-02,1.503935e-02
0.033,1.566847e-02,1.505321e-02
0.034,1.566847e-02,1.510324e-02
0.035,1.566847e-02,1.515328e-02
0.036,1.566847e-02,1.520331e-02
0.037,1.566847e-02,1.525335e-02
0.038,1.566847e-02,1.530338e-02
0.039,1.566847e-02,1.535342e-02
0.04,1.566847e-02,1.540345e-02
0.041,1.566847e-02,1.545349e-02
0.042,1.566847e-02,1.550352e-02
0.043,1.566847e-02,1.555356e-02
0.044,1.566847e-02,1.560359e-02
0.045,1.566847e-02,1.565362e-02
0.046,1.566847e-02,1.570366e-02
0.047,1.566847e-02,1.575369e-02
0.048,1.566847e-02,1.580373e-02
0.049,1.566847e-02,1.585376e-02
0.05,1.566847e-02,1.590380e-02
0.051,1.566847e-02,1.595383e-02
0.052,1.566847e-02,1.600387e-02
0.053,1.566847e-02,1.605390e-02
0.054,1.566847e-02,1.610394e-02
0.055,1.566847e-02,1.615398e-02
0.056,1.566847e-02,1.620401e-02
0.057,1.566847e-02,1.625405e-02
0.058,1.566847e-02,1.630408e-02
0.059,1.566847e-02,1.635411e-02
0.06,1.566847e-02,1.640415e-02
0.061,1.566847e-02,1.645418e-02
0.062,1.566847e-02,1.650422e-02
0.063,1.566847e-02,1.655425e-02
0.064,1.696754e-02,1.660971e-02
0.065,1.696754e-02,1.666572e-02
0.066,1.696754e-02,1.672172e-02
0.067,1.696754e-02,1.677772e-02
0.068,1.696754e-02,1.683373e-02
0.069,1.696754e-02,1.688973e-02
0.07,1.696754e-02,1.694574e-02
0.071,1.696754e-02,1.700174e-02
0.072,1.696754e-02,1.705774e-02
0.073,1.696754e-02,1.711375e-02
0.074,1.818427e-02,1.716929e-02
0.075,1.818427e-02,1.722392e-02
0.076,1.818427e-02,1.727855e-02
0.077,1.818427e-02,1.733318e-02
0.078,1.818427e-02,1.738781e-02
0.079,1.818427e-02,1.744244e-02
0.08,1.818427e-02,1.749707e-02
0.081,1.818427e-02,1.755169e-02
0.082,1.818427e-02,1.760632e-02
0.083,1.818427e-02,1.766095e-02
0.084,1.818427e-02,1.771558e-02
0.085,1.834969e-02,1.777005e-02
0.086,1.834969e-02,1.782415e-02
0.087,1.834969e-02,1.787825e-02
0.088,1.834969e-02,1.793234e-02
0.089,1.834969e-02,1.798644e-02
0.09,1.834969e-02,1.804054e-02
0.091,1.834969e-02,1.809464e-02
0.092,1.834969e-02,1.814874e-02
0.093,1.834969e-02,1.820284e-02
0.094,1.834969e-02,1.825693e-02
0.095,1.834969e-02,1.831103e-02
0.096,1.834969e-02,1.836513e-02
0.097,1.834969e-02,1.841923e-02
0.098,1.834969e-02,1.847333e-02
0.099,1.834969e-02,1.852743e-02
0.1,1.834969e-02,1.858152e-02
0.101,1.834969e-02,1.863562e-02
0.102,1.834969e-02,1.868972e-02
0.103,1.834969e-02,1.874382e-02
0.104,1.834969e-02,1.879792e-02
0.105,1.834969e-02,1.885202e-02
0.106,1.834969e-02,1.890611e-02
0.107,1.834969e-02,1.896021e-02
0.108,1.834969e-02,1.901431e-02
0.109,1.834969e-02,1.906841e-02
0.11,1.834969e-02,1.912251e-02
0.111,2.012427e-02,1.917713e-02
0.112,2.012427e-02,1.923286e-02
0.113,2.012427e-02,1.928860e-02
0.114,2.012427e-02,1.934433e-02
0.115,2.012427e-02,1.940006e-02
0.116,2.012427e-02,1.945579e-02
0.117,2.012427e-02,1.951152e-02
0.118,2.012427e-02,1.956726e-02
0.119,2.012427e-02,1.962299e-02
0.12,2.012427e-02,1.967872e-02
0.121,2.012427e-02,1.973445e-02
0.122,2.012427e-02,1.979018e-02
0.123,2.012427e-02,1.984591e-02
0.124,2.012427e-02,1.990165e-02
0.125,2.012427e-02,1.995738e-02
0.126,2.012427e-02,2.001311e-02
0.127,2.012427e-02,2.006884e-02
0.128,2.012427e-02,2.012457e-02
0.129,2.012427e-02,2.018031e-02
0.13,2.012427e-02,2.023604e-02
0.131,2.012427e-02,2.029177e-02
0.132,2.012427e-02,2.034750e-02
0.133,2.012427e-02,2.040323e-02
0.134,2.048894e-02,2.045881e-02
0.135,2.048894e-02,2.051408e-02
0.136,2.048894e-02,2.056935e-02
0.137,2.048894e-02,2.062461e-02
0.138,2.048894e-02,2.067988e-02
0.139,2.048894e-02,2.073515e-02
0.14,2.048894e-02,2.079041e-02
0.141,2.048894e-02,2.084568e-02
0.142,2.048894e-02,2.090095e-02
0.143,2.048894e-02,2.095622e-02
0.144,2.048894e-02,2.101148e-02
0.145,2.048894e-02,2.106675e-02
0.146,2.048894e-02,2.112202e-02
0.147,2.048894e-02,2.117729e-02
0.148,2.048894e-02,2.123255e-02
0.149,2.048894e-02,2.128782e-02
0.15,2.212666e-02,2.134098e-02
0.151,2.212666e-02,2.139389e-02
0.152,2.212666e-02,2.144679e-02
0.153,2.212666e-02,2.149969e-02
0.154,2.212666e-02,2.155260e-02
0.155,2.212666e-02,2.160550e-02
0.156,2.212666e-02,2.165840e-02
0.157,2.212666e-02,2.171130e-02
0.158,2.212666e-02,2.176420e-02
0.159,2.212666e-02,2.181711e-02
0.16,2.212666e-02,2.187001e-02
0.161,2.212666e-02,2.192291e-02
0.162,2.212666e-02,2.197582e-02
0.163,2.212666e-02,2.202872e-02
0.164,2.212666e-02,2.208162e-02
0.165,2.212666e-02,2.213452e-02
0.166,2.212666e-02,2.218743e-02
0.167,2.212666e-02,2.224033e-02
0.168,2.212666e-02,2.229323e-02
0.169,2.212666e-02,2.234613e-02
0.17,2.212666e-02,2.239904e-02
0.171,2.212666e-02,2.245194e-02
0.172,2.212666e-02,2.250484e-02
0.173,2.170904e-02,2.255820e-02
0.174,2.170904e-02,2.261260e-02
0.175,2.170904e-02,2.266701e-02
0.176,2.170904e-02,2.272142e-02
0.177,2.170904e-02,2.277583e-02
0.178,2.170904e-02,2.283023e-02
0.179,2.170904e-02,2.288464e-02
0.18,2.170904e-02,2.293905e-02
0.181,2.170904e-02,2.299346e-02
0.182,2.170904e-02,2.304787e-02
0.183,2.254716e-02,2.310553e-02
0.184,2.254716e-02,2.316559e-02
0.185,2.254716e-02,2.322565e-02
0.186,2.254716e-02,2.328571e-02
0.187,2.254716e-02,2.334577e-02
0.188,2.254716e-02,2.340583e-02
0.189,2.388296e-02,2.346576e-02
0.19,2.388296e-02,2.352563e-02
0.191,2.388296e-02,2.358551e-02
0.192,2.388296e-02,2.364539e-02
0.193,2.388296e-02,2.370526e-02
0.194,2.388296e-02,2.376514e-02
0.195,2.388296e-02,2.382501e-02
0.196,2.388296e-02,2.388489e-02
0.197,2.388296e-02,2.394476e-02
0.198,2.388296e-02,2.400464e-02
0.199,2.388296e-02,2.406452e-02
0.2,2.388296e-02,2.412439e-02
0.201,2.459094e-02,2.418113e-02
0.202,2.459094e-02,2.423551e-02
0.203,2.459094e-02,2.428989e-02
0.204,2.459094e-02,2.434427e-02
0.205,2.459094e-02,2.439865e-02
0.206,2.459094e-02,2.445303e-02
0.207,2.459094e-02,2.450741e-02
0.208,2.459094e-02,2.456180e-02
0.209,2.459094e-02,2.461618e-02
0.21,2.459094e-02,2.467056e-02
0.211,2.459094e-02,2.472494e-02
0.212,2.459094e-02,2.477932e-02
0.213,2.459094e-02,2.483370e-02
0.214,2.459094e-02,2.488808e-02
0.215,2.459094e-02,2.494246e-02
0.216,2.564734e-02,2.499420e-02
0.217,2.564734e-02,2.504265e-02
0.218,2.564734e-02,2.509110e-02
0.219,2.564734e-02,2.513955e-02
0.22,2.564734e-02,2.518800e-02
0.221,2.564734e-02,2.523645e-02
0.222,2.564734e-02,2.528490e-02
0.223,2.564734e-02,2.533335e-02
0.224,2.564734e-02,2.538181e-02
0.225,2.581607e-02,2.543562e-02
0.226,2.581607e-02,2.549077e-02
0.227,2.581607e-02,2.554592e-02
0.228,2.581607e-02,2.560107e-02
0.229,2.581607e-02,2.565622e-02
0.23,2.581607e-02,2.571137e-02
0.231,2.581607e-02,2.576652e-02
0.232,2.581607e-02,2.582167e-02
0.233,2.581607e-02,2.587682e-02
0.234,2.581607e-02,2.593197e-02
0.235,2.581607e-02,2.598713e-02
0.236,2.581607e-02,2.604227e-02
0.237,2.581607e-02,2.609742e-02
0.238,2.581607e-02,2.615258e-02
0.239,2.581607e-02,2.620773e-02
0.24,2.581607e-02,2.626288e-02
0.241,2.581607e-02,2.631803e-02
0.242,2.675868e-02,2.636373e-02
0.243,2.675868e-02,2.640677e-02
0.244,2.675868e-02,2.644982e-02
0.245,2.675868e-02,2.649286e-02
0.246,2.675868e-02,2.653591e-02
0.247,2.675868e-02,2.657895e-02
0.248,2.675868e-02,2.662200e-02
0.249,2.675868e-02,2.666504e-02
0.25,2.675868e-02,2.670809e-02
0.251,2.675868e-02,2.675113e-02
0.252,2.688064e-02,2.679743e-02
0.253,2.688064e-02,2.684974e-02
0.254,2.688064e-02,2.690205e-02
0.255,2.688064e-02,2.695436e-02
0.256,2.688064e-02,2.700668e-02
0.257,2.688064e-02,2.705899e-02
0.258,2.688064e-02,2.711130e-02
0.259,2.688064e-02,2.716362e-02
0.26,2.688064e-02,2.721593e-02
0.261,2.688064e-02,2.726824e-02
0.262,2.762112e-02,2.731102e-02
0.263,2.762112e-02,2.735297e-02
0.264,2.762112e-02,2.739492e-02
0.265,2.762112e-02,2.743687e-02
0.266,2.762112e-02,2.747881e-02
0.267,2.762112e-02,2.752076e-02
0.268,2.762112e-02,2.756271e-02
0.269,2.762112e-02,2.760466e-02
0.27,2.762112e-02,2.764660e-02
0.271,2.762112e-02,2.768855e-02
0.272,2.762112e-02,2.773050e-02
0.273,2.762112e-02,2.777245e-02
0.274,2.762112e-02,2.781439e-02
0.275,2.762112e-02,2.785634e-02
0.276,2.762112e-02,2.789829e-02
0.277,2.762112e-02,2.794024e-02
0.278,2.762112e-02,2.798218e-02
0.279,2.762112e-02,2.802413e-02
0.28,2.762112e-02,2.806608e-02
0.281,2.782316e-02,2.811036e-02
0.282,2.840919e-02,2.815198e-02
0.283,2.844554e-02,2.818540e-02
0.284,2.844554e-02,2.821733e-02
0.285,2.844554e-02,2.824926e-02
0.286,2.844554e-02,2.828119e-02
0.287,2.844554e-02,2.831312e-02
0.288,2.844554e-02,2.834505e-02
0.289,2.844554e-02,2.837698e-02
0.29,2.844554e-02,2.840890e-02
0.291,2.844554e-02,2.844083e-02
0.292,2.844554e-02,2.847276e-02
0.293,2.844554e-02,2.850469e-02
0.294,2.844554e-02,2.853662e-02
0.295,2.844554e-02,2.856855e-02
0.296,2.844554e-02,2.860048e-02
0.297,2.844554e-02,2.863240e-02
0.298,2.844554e-02,2.866433e-02
0.299,2.896230e-02,2.869839e-02
0.3,2.896230e-02,2.873840e-02
0.301,2.896230e-02,2.877842e-02
0.302,2.896230e-02,2.881844e-02
0.303,2.896230e-02,2.885845e-02
0.304,2.896230e-02,2.889847e-02
0.305,2.896230e-02,2.893849e-02
0.306,2.896230e-02,2.897850e-02
0.307,2.896230e-02,2.901852e-02
0.308,2.896230e-02,2.905854e-02
0.309,2.896230e-02,2.909855e-02
0.31,2.896230e-02,2.913857e-02
0.311,2.904302e-02,2.917357e-02
0.312,2.904302e-02,2.920193e-02
0.313,2.904302e-02,2.923029e-02
0.314,2.904302e-02,2.925864e-02
0.315,2.904302e-02,2.928700e-02
0.316,2.904302e-02,2.931536e-02
0.317,2.904302e-02,2.934371e-02
0.318,2.951457e-02,2.937791e-02
0.319,2.951457e-02,2.941328e-02
0.32,2.951457e-02,2.944865e-02
0.321,2.951457e-02,2.948401e-02
0.322,2.951457e-02,2.951938e-02
0.323,2.951457e-02,2.955475e-02
0.324,2.951457e-02,2.959012e-02
